 theta 0.621 phi: -0.164  | x=951.817 y=-157.513
 theta 0.332 phi: -0.353  | x=589.472 y=-217.18
 theta 0.678 phi: -0.062  | x=994.029 y=-61.7089
 theta 0.236 phi: -0.485  | x=410.024 y=-216.076
 theta 0.341 phi: -0.374  | x=598.138 y=-234.752
 theta 0.364 phi: 0.338  | x=639.889 y=224.913
 theta 0.366 phi: 0.345  | x=641.158 y=230.415
 theta 0.337 phi: -0.371  | x=592.92 y=-230.654
 theta 0.112 phi: -0.136  | x=224.343 y=-30.7001
 theta 0.242 phi: -0.499  | x=416.496 y=-226.992
 theta 0.333 phi: -0.369  | x=587.419 y=-227.162
 theta 0.679 phi: -0.088  | x=992.52 y=-87.5679
 theta 0.609 phi: -0.169  | x=942.957 y=-160.894
 theta 0.547 phi: -0.077  | x=902.994 y=-69.6683
 theta 0.239 phi: -0.511  | x=409.013 y=-229.322
 theta 0.368 phi: 0.326  | x=648.288 y=219.161
 theta 0.32 phi: -0.563  | x=514.804 y=-324.912
 theta 0.366 phi: 0.327  | x=645.201 y=218.837
 theta 0.315 phi: -0.543  | x=514.173 y=-310.311
 theta 0.191 phi: 0.753  | x=277.261 y=259.854
 theta 0.195 phi: 0.734  | x=287.758 y=259.6
 theta 0.194 phi: 0.704  | x=293.977 y=249.63
 theta 0.609 phi: -0.163  | x=943.906 y=-155.234
 theta 0.201 phi: 0.749  | x=292.097 y=271.571
 theta 0.325 phi: -0.571  | x=519.042 y=-333.422
 theta 0.595 phi: -0.165  | x=933.497 y=-155.44
 theta 0.337 phi: -0.375  | x=591.993 y=-233.024
 theta 0.34 phi: 0.169  | x=631.84 y=107.809
 theta 0.338 phi: 0.186  | x=626.795 y=117.947
 theta 0.37 phi: 0.34  | x=648 y=229.222
 theta 0.115 phi: -0.138  | x=230.184 y=-31.9685
 theta 0.323 phi: -0.538  | x=526.969 y=-314.45
 theta 0.341 phi: -0.355  | x=602.49 y=-223.346
 theta 0.337 phi: 0.171  | x=626.925 y=108.261
 theta 0.239 phi: -0.535  | x=403.392 y=-239.071
 theta 0.502 phi: 0.358  | x=805.443 y=301.333
 theta 0.342 phi: -0.377  | x=598.901 y=-237.128
 theta 0.56 phi: -0.1  | x=912.95 y=-91.6005
 theta 0.308 phi: -0.535  | x=506.668 y=-300.279
 theta 0.645 phi: -0.074  | x=976.764 y=-72.4128
 theta 0.671 phi: -0.067  | x=990.576 y=-66.4681
 theta 0.32 phi: -0.545  | x=520.569 y=-315.593
 theta 0.685 phi: -0.079  | x=995.771 y=-78.83
 theta 0.616 phi: -0.158  | x=949.447 y=-151.274
 theta 0.117 phi: -0.147  | x=233.812 y=-34.6201
 theta 0.331 phi: 0.156  | x=618.992 y=97.3538
 theta 0.511 phi: 0.367  | x=811.763 y=312.055
 theta 0.31 phi: -0.551  | x=504.631 y=-310.086
 theta 0.546 phi: -0.085  | x=901.474 y=-76.8103
 theta 0.339 phi: -0.375  | x=594.953 y=-234.189
 theta 0.193 phi: 0.706  | x=292.041 y=248.993
 theta 0.317 phi: -0.535  | x=519.469 y=-307.865
 theta 0.239 phi: -0.502  | x=411.06 y=-225.632
 theta 0.319 phi: -0.561  | x=514.067 y=-323.011
 theta 0.67 phi: -0.078  | x=989.322 y=-77.324
 theta 0.596 phi: -0.156  | x=935.604 y=-147.15
 theta 0.234 phi: -0.495  | x=404.644 y=-218.438
 theta 0.335 phi: 0.157  | x=625.228 y=98.9753
 theta 0.192 phi: 0.718  | x=287.609 y=251.236
 theta 0.341 phi: 0.164  | x=633.934 y=104.907
 theta 0.191 phi: 0.722  | x=285.182 y=251.135
 theta 0.506 phi: 0.349  | x=812.211 y=295.56
 theta 0.236 phi: -0.513  | x=403.814 y=-227.47
 theta 0.375 phi: 0.331  | x=657.123 y=225.816
 theta 0.245 phi: -0.501  | x=420.782 y=-230.421
 theta 0.342 phi: -0.366  | x=601.473 y=-230.526
 theta 0.372 phi: 0.331  | x=652.879 y=224.357
 theta 0.337 phi: 0.163  | x=627.771 y=103.243
 theta 0.374 phi: 0.313  | x=659.661 y=213.492
 theta 0.339 phi: -0.37  | x=596.116 y=-231.211
 theta 0.198 phi: 0.728  | x=293.528 y=261.628
 theta 0.686 phi: -0.066  | x=997.116 y=-65.9054
 theta 0.119 phi: -0.076  | x=239.632 y=-18.2472
 theta 0.106 phi: -0.097  | x=213.483 y=-20.773
 theta 0.563 phi: -0.091  | x=916.374 y=-83.621
